# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2022-10-01 23:55:52
# Generated from file: Y:\Ellin\2020\Comp Project\SCiLS Files\04-17-2019_MB_Imaging_raw_data.slx
# Object Full Name: PCA_04-17-2019_MB_Imaging_raw_data
# Object ID: f523de61-e6db-4078-9bca-0461dc8e5cd8
# Object type: PCA
# Object creation time: 2021-03-17 17:47:10
#
Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4;Coefficient 5
76;27453157.8900913;-11847533.1240149;-3157791.55036046;-647794.333861715;6824502.08501003
77;31566949.9562846;-16759198.4388167;-11697237.5801154;-633326.144055708;7039371.87683158
78;6619877.56787975;-14915188.8118782;-11913157.4757348;141315.627089888;6738398.76340538
79;31068573.7001844;-16623607.3927548;-9835221.43679407;-1134567.09568962;5590018.00094752
80;31605171.6639869;-15305845.8911644;-8895332.32617442;-5603342.11585301;9909548.60821482
81;28844761.6263799;-12179137.956534;-6459224.42876108;-6307059.23262963;12103046.192317
82;46449050.7433928;-9131754.97586067;-5931114.02998904;-9686301.91907243;20276582.1589301
83;32533144.3527271;-8144542.73754919;-7249049.74196036;-12136996.2117864;21546557.9639971
84;8799600.54684519;-9047924.16642341;-12704268.2103783;-8570802.36581662;22404581.6543855
85;48986464.7973985;-6418973.57844465;-10286447.6236541;-9730681.82510891;26824759.3046536
86;18882503.0612543;-7663339.40369841;-9192913.4452511;-9007536.5293517;25847250.1160638
87;19703279.8797567;-9464536.64741233;-11865815.0889723;-9354416.79674735;20244929.779235
88;29109841.5352981;-9718544.38816525;-12495431.4293642;-9424759.43324774;22902196.2577426
89;40555736.5110239;-10139553.7242181;-11565754.8312377;-13904838.7834005;23032152.4583985
90;44261079.8488135;-11585916.9818745;-13850936.149598;-9725485.5528813;23336158.1583623
91;63419299.3362211;-13487648.2221031;-13372403.5324651;-9685981.04762341;25132440.1793066
92;61183524.2033661;-13345298.579509;-15157504.5067028;-10433046.4952211;23634427.5456967
93;6517741.34703691;-22503663.3959619;-28117968.4927877;-4647710.20153671;6358601.66102746
94;62278532.3347388;-26477335.4925829;-25119848.4395693;-6922481.16054985;6791208.74892177
95;51925619.9888912;-21912875.6643535;-18187623.9541092;-11710474.2561538;10258925.5549395
96;6485943.99307066;-20209702.8072758;-22200639.3602404;-12495439.2292043;10122533.0164415
97;21698595.3776058;-20386605.1620514;-18601657.2411985;-9089379.58616477;4386549.22975267
98;8272974.76352481;-20450912.9632747;-19699439.3451382;-7566668.42709932;1402739.15534719
99;15259220.0609292;-22544564.3473478;-23200162.2383818;-7467479.19322196;2220767.45615273
100;41028170.2217297;-22675227.2811758;-20881269.724499;-7589086.31629162;6063.98796333425
101;35473493.0352924;-21009963.4204669;-21200906.2344237;-9928879.09430805;820725.779766938
102;16200290.0288381;-19919213.8951485;-24500393.2560191;-9166936.11943031;4104322.32156976
103;40491133.6213069;-18630295.154932;-17605748.8858293;-6211270.60967651;2979737.91934701
104;7184197.33258936;-17152784.2743094;-18201552.7797636;-5207861.73026829;4982269.6329336
105;21057222.5587894;-17576028.8677506;-16159398.768555;-6425845.37544654;5130187.6367652
106;3177685.23029057;-14277130.8192575;-13103349.2731635;-6451703.04752909;7442235.96134772
107;16668431.1536167;-13189870.1988098;-9976606.82240766;-4224988.71311475;7372203.18606982
108;2792986.00740444;-10286463.1283359;-4340463.38600038;-3904348.49662462;5505324.50554073
109;7576583.16681932;-12459160.8466648;-8660669.12734928;-6063166.44338922;7481050.99680952
110;10320548.8078294;-7355074.48384278;-6363350.90129824;-2520052.69151106;8707275.34126615
111;1970036.40675746;-9010925.30559212;-7273674.08452067;-1572203.641838;8678458.71496639
112;-15811883.8063088;-11887003.883428;-12990733.8671161;-4212833.36000547;5894512.94982817
113;15323278.0887776;-11332835.8639299;-6658308.40290531;-2623818.93708829;5934496.01125319
114;4699683.32585699;-15305931.6395383;-12650763.0097763;-609310.813528141;5031557.24367996
115;28871261.3651324;-15754422.7956372;-9638902.28585103;-3149034.92722668;4851407.93163463
116;21619076.884488;-17245010.8145559;-7304054.09092848;613942.540972317;3503658.66800732
117;17961800.5311603;-11891333.675663;-6280645.75700102;-7639959.47679016;8837331.8461999
118;36190510.8264649;-11748602.7010491;-4607896.62690051;-8252208.39494638;16651998.622659
119;49335944.479134;-5731325.58990793;1486253.85401201;-8550324.15323297;20697236.7620193
120;41136915.1577884;-5030158.70190534;-1497531.31200048;-12370848.6809031;22299084.6682295
121;15897319.4141407;6917740.88967195;-7382289.47197286;-4215596.1708179;23174066.4933006
122;27023111.3241582;11198156.3180386;-9968477.45949896;-8104980.11297729;16833424.3162048
123;6557333.47721677;-1926806.31236371;-6011448.37874299;-9574743.18750494;26213804.4396365
124;31966175.9605424;-1328744.17980096;-6014983.87419783;-10008822.2108209;28413376.4042544
125;27218966.3322024;-4956808.61893682;-7055328.88783337;-10291277.1860727;24529671.6982691
